4
1  12 0  0  	0  0  14 0  	7  0  16 0  	0  0  0  0  
0  6  10 0  	9  0  0  0  	0  14 13 0  	0  0  0  0  
9  16 0  0  	0  0  0  5  	6  12 0  0  	0  0  3  0  
0  0  0  14 	7  0  6  0  	11 0  2  0  	12 0  0  10 

0  14 0  0  	0  0  0  0  	3  0  0  11 	0  0  0  8  
0  0  7  10 	0  13 1  0  	0  15 0  0  	6  2  0  0  
0  15 0  0  	0  0  0  6  	0  7  0  8  	0  0  0  0  
0  3  5  0  	16 0  11 15 	0  0  9  10 	13 0  0  0  

8  0  0  0  	0  0  0  0  	0  11 0  0  	0  0  0  0  
0  0  0  0  	13 12 2  0  	16 5  10 0  	0  7  0  14 
0  0  0  0  	0  4  3  0  	2  0  7  0  	0  11 0  0  
0  0  0  9  	1  0  0  0  	0  0  15 13 	0  8  16 5  

12 5  4  0  	0  0  0  0  	0  9  0  0  	0  16 15 2  
0  13 0  0  	8  0  0  0  	10 0  12 0  	0  5  4  0  
7  0  6  0  	0  0  5  0  	0  1  0  3  	0  0  0  9  
16 0  0  3  	0  0  0  7  	5  0  14 0  	8  12 0  1  

